ANIMAL ID,R1 READS,R2 READS,PLATEFORM
SRR17642611,/Users/chiarabortoluzzi/Desktop/SIB/Environmental_Bioinformatics_Group/Projects/SNF/data/Dendrocoptes_medius/reads/SRR17642611.fastq.gz,None,ILLUMINA
SRR17642613,/Users/chiarabortoluzzi/Desktop/SIB/Environmental_Bioinformatics_Group/Projects/SNF/data/Dendrocoptes_medius/reads/SRR17642613.fastq.gz,None,ILLUMINA
