run_accession,tax_id,scientific_name,sample_alias,sample_title,sample_description,collection_date,location,country,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_1,fastq_2
ERR14826215,2030908,Anodonta exulcerata,AD03,AD03,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760356,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,141237358,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/015/ERR14826215/ERR14826215_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/015/ERR14826215/ERR14826215_2.fastq.gz
ERR14826199,2030908,Anodonta exulcerata,AC85,AC85,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760340,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,139361522,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14826199/ERR14826199_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14826199/ERR14826199_2.fastq.gz
ERR14826213,2030908,Anodonta exulcerata,AC99,AC99,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760354,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,108819672,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14826213/ERR14826213_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/013/ERR14826213/ERR14826213_2.fastq.gz
ERR14826214,2030908,Anodonta exulcerata,AD01,AD01,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760355,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,153134092,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/014/ERR14826214/ERR14826214_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/014/ERR14826214/ERR14826214_2.fastq.gz
ERR14826198,2030908,Anodonta exulcerata,AC84,AC84,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760339,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,118888716,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14826198/ERR14826198_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14826198/ERR14826198_2.fastq.gz
ERR14826205,2030908,Anodonta exulcerata,AC91,AC91,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760346,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,128831306,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826205/ERR14826205_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826205/ERR14826205_2.fastq.gz
ERR14826206,2030908,Anodonta exulcerata,AC92,AC92,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760347,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,122111638,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/006/ERR14826206/ERR14826206_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/006/ERR14826206/ERR14826206_2.fastq.gz
ERR14826209,2030908,Anodonta exulcerata,AC95,AC95,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760350,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,124718672,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR14826209/ERR14826209_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/009/ERR14826209/ERR14826209_2.fastq.gz
ERR14826208,2030908,Anodonta exulcerata,AC94,AC94,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760349,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,128037176,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826208/ERR14826208_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826208/ERR14826208_2.fastq.gz
ERR14826190,2030908,Anodonta exulcerata,AC75,AC75,foot biopsy,2023-08-08,,Switzerland,PRJEB86155,SAMEA117760331,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,152280660,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/090/ERR14826190/ERR14826190_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/090/ERR14826190/ERR14826190_2.fastq.gz
