run_accession,tax_id,scientific_name,sample_alias,sample_title,sample_description,collection_date,location,country,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_1,fastq_2
SRR8437803,72542,Capra ibex,ib.VS1121_pl,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736149,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,227365943,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437803/SRR8437803_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437803/SRR8437803_2.fastq.gz
SRR8437801,72542,Capra ibex,ib.GR0201_al,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736138,ILLUMINA,Illumina HiSeq 2500,WGS,GENOMIC,RANDOM,224558986,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437801/SRR8437801_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/001/SRR8437801/SRR8437801_2.fastq.gz
SRR8437783,72542,Capra ibex,ib.BE0463_bo,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736129,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,223409638,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437783/SRR8437783_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/003/SRR8437783/SRR8437783_2.fastq.gz
SRR8437775,72542,Capra ibex,ib.BE0010_br,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736125,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,240776337,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/005/SRR8437775/SRR8437775_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/005/SRR8437775/SRR8437775_2.fastq.gz
SRR8437799,72542,Capra ibex,ib.GPV18C_gp,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736136,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,236865746,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/009/SRR8437799/SRR8437799_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/009/SRR8437799/SRR8437799_2.fastq.gz
SRR8437802,72542,Capra ibex,ib.GR0323_al,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736139,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,226856696,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/002/SRR8437802/SRR8437802_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/002/SRR8437802/SRR8437802_2.fastq.gz
SRR8437804,72542,Capra ibex,ib.VS0139_pl,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736148,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,232501688,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/004/SRR8437804/SRR8437804_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/004/SRR8437804/SRR8437804_2.fastq.gz
SRR8437806,72542,Capra ibex,ib.UR0036_ob,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736144,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,228640232,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437806/SRR8437806_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/006/SRR8437806/SRR8437806_2.fastq.gz
SRR8437810,72542,Capra ibex,ib.GR0442_al,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736140,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,225432920,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/000/SRR8437810/SRR8437810_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/000/SRR8437810/SRR8437810_2.fastq.gz
SRR8437777,72542,Capra ibex,ib.BE0309_bo,Model organism or animal sample from Capra ibex,Model organism or animal sample from Capra ibex,,,,PRJNA514886,SAMN10736127,ILLUMINA,Illumina HiSeq 4000,WGS,GENOMIC,RANDOM,223593437,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437777/SRR8437777_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR843/007/SRR8437777/SRR8437777_2.fastq.gz
ERR10027424,111900,Erebia cassioides,X1804,X1804,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460563,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15235810,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/024/ERR10027424/ERR10027424_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/024/ERR10027424/ERR10027424_2.fastq.gz
ERR10026341,111900,Erebia cassioides,X1804,X1804,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460563,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,28631028,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/041/ERR10026341/ERR10026341_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/041/ERR10026341/ERR10026341_2.fastq.gz
ERR10027687,111900,Erebia cassioides,X530,X530,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2017-08-18,,Switzerland,PRJEB54919,SAMEA110460641,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,49841832,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/087/ERR10027687/ERR10027687_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/087/ERR10027687/ERR10027687_2.fastq.gz
ERR10027422,111900,Erebia cassioides,X1804,X1804,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460563,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27490104,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/022/ERR10027422/ERR10027422_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/022/ERR10027422/ERR10027422_2.fastq.gz
ERR10027689,111900,Erebia cassioides,X1957,X1957,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-30,,Switzerland,PRJEB54919,SAMEA110460587,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15677652,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/089/ERR10027689/ERR10027689_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/089/ERR10027689/ERR10027689_2.fastq.gz
ERR10027360,111900,Erebia cassioides,X1808,X1808,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460565,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25957934,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10027360/ERR10027360_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10027360/ERR10027360_2.fastq.gz
ERR10026516,111900,Erebia cassioides,X2463,X2463,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460604,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,16174542,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/016/ERR10026516/ERR10026516_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/016/ERR10026516/ERR10026516_2.fastq.gz
ERR10026492,111900,Erebia cassioides,X2033,X2033,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-09-04,,Switzerland,PRJEB54919,SAMEA110460590,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27834818,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/092/ERR10026492/ERR10026492_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/092/ERR10026492/ERR10026492_2.fastq.gz
ERR10026363,111900,Erebia cassioides,X1826,X1826,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460568,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,29237754,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/063/ERR10026363/ERR10026363_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/063/ERR10026363/ERR10026363_2.fastq.gz
ERR10027400,111900,Erebia cassioides,X1824,X1824,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460566,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,26575782,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR10027400/ERR10027400_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR10027400/ERR10027400_2.fastq.gz
ERR10026305,111900,Erebia cassioides,X1808,X1808,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460565,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27119660,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR10026305/ERR10026305_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/005/ERR10026305/ERR10026305_2.fastq.gz
ERR10027692,111900,Erebia cassioides,X1957,X1957,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-30,,Switzerland,PRJEB54919,SAMEA110460587,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,37822514,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/092/ERR10027692/ERR10027692_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/092/ERR10027692/ERR10027692_2.fastq.gz
ERR10026357,111900,Erebia cassioides,X1844,X1844,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2022-08-17,,Switzerland,PRJEB54919,SAMEA110460572,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27046726,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/057/ERR10026357/ERR10026357_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/057/ERR10026357/ERR10026357_2.fastq.gz
ERR10027685,111900,Erebia cassioides,X530,X530,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2017-08-18,,Switzerland,PRJEB54919,SAMEA110460641,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,18964818,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/085/ERR10027685/ERR10027685_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/085/ERR10027685/ERR10027685_2.fastq.gz
ERR10026330,111900,Erebia cassioides,X1824,X1824,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460566,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27657638,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/030/ERR10026330/ERR10026330_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/030/ERR10026330/ERR10026330_2.fastq.gz
ERR10028338,111900,Erebia cassioides,X1847,X1847,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-22,,Switzerland,PRJEB54919,SAMEA110460574,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25178608,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/038/ERR10028338/ERR10028338_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/038/ERR10028338/ERR10028338_2.fastq.gz
ERR10025925,111900,Erebia cassioides,X1954,X1954,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-27,,Switzerland,PRJEB54919,SAMEA110460586,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15044380,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/025/ERR10025925/ERR10025925_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/025/ERR10025925/ERR10025925_2.fastq.gz
ERR10029984,111900,Erebia cassioides,X2468,X2468,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460605,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,12535460,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/084/ERR10029984/ERR10029984_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/084/ERR10029984/ERR10029984_2.fastq.gz
ERR10027655,111900,Erebia cassioides,X2468,X2468,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460605,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15429670,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/055/ERR10027655/ERR10027655_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/055/ERR10027655/ERR10027655_2.fastq.gz
ERR10027651,111900,Erebia cassioides,X2463,X2463,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460604,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15411212,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/051/ERR10027651/ERR10027651_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/051/ERR10027651/ERR10027651_2.fastq.gz
ERR10027620,111900,Erebia cassioides,X1920,X1920,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-26,,Switzerland,PRJEB54919,SAMEA110460583,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,16126030,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/020/ERR10027620/ERR10027620_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/020/ERR10027620/ERR10027620_2.fastq.gz
ERR10026288,111900,Erebia cassioides,X1774,X1774,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460561,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27286436,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/088/ERR10026288/ERR10026288_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/088/ERR10026288/ERR10026288_2.fastq.gz
ERR10027464,111900,Erebia cassioides,X1826,X1826,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460568,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,28045320,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/064/ERR10027464/ERR10027464_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/064/ERR10027464/ERR10027464_2.fastq.gz
ERR10027612,111900,Erebia cassioides,X2033,X2033,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-09-04,,Switzerland,PRJEB54919,SAMEA110460590,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,14385910,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/012/ERR10027612/ERR10027612_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/012/ERR10027612/ERR10027612_2.fastq.gz
ERR10028631,111900,Erebia cassioides,X1804,X1804,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460563,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,26248876,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/031/ERR10028631/ERR10028631_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/031/ERR10028631/ERR10028631_2.fastq.gz
ERR10029983,111900,Erebia cassioides,X2463,X2463,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460604,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,12626160,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/083/ERR10029983/ERR10029983_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/083/ERR10029983/ERR10029983_2.fastq.gz
ERR10026311,111900,Erebia cassioides,X1847,X1847,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-22,,Switzerland,PRJEB54919,SAMEA110460574,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27510708,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/011/ERR10026311/ERR10026311_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/011/ERR10026311/ERR10026311_2.fastq.gz
ERR10026518,111900,Erebia cassioides,X2468,X2468,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460605,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,16143564,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/018/ERR10026518/ERR10026518_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/018/ERR10026518/ERR10026518_2.fastq.gz
ERR10027371,111900,Erebia cassioides,X1847,X1847,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-22,,Switzerland,PRJEB54919,SAMEA110460574,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,14713982,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/071/ERR10027371/ERR10027371_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/071/ERR10027371/ERR10027371_2.fastq.gz
ERR10027657,111900,Erebia cassioides,X2468,X2468,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460605,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,40425970,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/057/ERR10027657/ERR10027657_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/057/ERR10027657/ERR10027657_2.fastq.gz
ERR10025944,111900,Erebia cassioides,X1954,X1954,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-27,,Switzerland,PRJEB54919,SAMEA110460586,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,12094336,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/044/ERR10025944/ERR10025944_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/044/ERR10025944/ERR10025944_2.fastq.gz
ERR10028333,111900,Erebia cassioides,X1808,X1808,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460565,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25236502,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/033/ERR10028333/ERR10028333_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/033/ERR10028333/ERR10028333_2.fastq.gz
ERR10027361,111900,Erebia cassioides,X1808,X1808,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460565,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,14578610,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/061/ERR10027361/ERR10027361_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/061/ERR10027361/ERR10027361_2.fastq.gz
ERR10028648,111900,Erebia cassioides,X1844,X1844,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2022-08-17,,Switzerland,PRJEB54919,SAMEA110460572,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25282320,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/048/ERR10028648/ERR10028648_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/048/ERR10028648/ERR10028648_2.fastq.gz
ERR10026533,111900,Erebia cassioides,X1957,X1957,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-30,,Switzerland,PRJEB54919,SAMEA110460587,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,16406578,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/033/ERR10026533/ERR10026533_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/033/ERR10026533/ERR10026533_2.fastq.gz
ERR10027673,111900,Erebia cassioides,X2479,X2479,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460608,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,33884246,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/073/ERR10027673/ERR10027673_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/073/ERR10027673/ERR10027673_2.fastq.gz
ERR10026523,111900,Erebia cassioides,X2479,X2479,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2020-08-20,,Switzerland,PRJEB54919,SAMEA110460608,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,14760670,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/023/ERR10026523/ERR10026523_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/023/ERR10026523/ERR10026523_2.fastq.gz
ERR10029997,111900,Erebia cassioides,X530,X530,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2017-08-18,,Switzerland,PRJEB54919,SAMEA110460641,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15344588,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/097/ERR10029997/ERR10029997_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/097/ERR10029997/ERR10029997_2.fastq.gz
ERR10029960,111900,Erebia cassioides,X1920,X1920,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-26,,Switzerland,PRJEB54919,SAMEA110460583,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27795412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10029960/ERR10029960_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10029960/ERR10029960_2.fastq.gz
ERR10029954,111900,Erebia cassioides,X2033,X2033,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-09-04,,Switzerland,PRJEB54919,SAMEA110460590,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25236462,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/054/ERR10029954/ERR10029954_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/054/ERR10029954/ERR10029954_2.fastq.gz
ERR10028654,111900,Erebia cassioides,X1826,X1826,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460568,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,27099506,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/054/ERR10028654/ERR10028654_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/054/ERR10028654/ERR10028654_2.fastq.gz
ERR10028327,111900,Erebia cassioides,X1774,X1774,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460561,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,25121258,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/027/ERR10028327/ERR10028327_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/027/ERR10028327/ERR10028327_2.fastq.gz
ERR10027611,111900,Erebia cassioides,X2033,X2033,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-09-04,,Switzerland,PRJEB54919,SAMEA110460590,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,26514506,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/011/ERR10027611/ERR10027611_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/011/ERR10027611/ERR10027611_2.fastq.gz
ERR10027465,111900,Erebia cassioides,X1826,X1826,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-17,,Switzerland,PRJEB54919,SAMEA110460568,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15762422,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/065/ERR10027465/ERR10027465_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/065/ERR10027465/ERR10027465_2.fastq.gz
ERR10027349,111900,Erebia cassioides,X1774,X1774,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-16,,Switzerland,PRJEB54919,SAMEA110460561,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,26195484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/049/ERR10027349/ERR10027349_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/049/ERR10027349/ERR10027349_2.fastq.gz
ERR10026529,111900,Erebia cassioides,X530,X530,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2017-08-18,,Switzerland,PRJEB54919,SAMEA110460641,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,19751290,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/029/ERR10026529/ERR10026529_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/029/ERR10026529/ERR10026529_2.fastq.gz
ERR10026497,111900,Erebia cassioides,X1920,X1920,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-26,,Switzerland,PRJEB54919,SAMEA110460583,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,29647360,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/097/ERR10026497/ERR10026497_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/097/ERR10026497/ERR10026497_2.fastq.gz
ERR10025941,111900,Erebia cassioides,X1954,X1954,Thorax tissue of a unique Erebia cassioides individual from Switzerland,2019-08-27,,Switzerland,PRJEB54919,SAMEA110460586,ILLUMINA,Illumina NovaSeq 6000,WGS,GENOMIC,RANDOM,15668958,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/041/ERR10025941/ERR10025941_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/041/ERR10025941/ERR10025941_2.fastq.gz
