scientific_name,reference_genome
Anodonta anatina,Anodonta cygnea
Anodonta exulcerata,Anodonta cygnea
Bison bonasus,Bison bonasus
Bos taurus,Bos taurus
Capra ibex,Capra ibex
Erebia cassioides,Erebia cassioides
Gasterosteus aculeatus,Gasterosteus aculeatus
Tyto alba,Tyto alba
Zymoseptoria tritici,Zymoseptoria tritici
