ANIMAL ID,R1 READS,R2 READS,PLATEFORM
SRR17642611,data/reads/SRR17642611.fastq.gz,None,ILLUMINA
SRR17642613,data/reads/SRR17642613.fastq.gz,None,ILLUMINA
